web-scraper-order,date,title,ratings,label,comment_segmented
1756461394-11,2024-08-23,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'kadaluarsa', 'haris', 'aking', 'enak', 'lupa', 'nilai', 'tinggal', 'segi', 'inget', 'pokok', 'enak', 'bingit', 'kue', 'lapis', 'legit']"
1756461394-12,2024-11-15,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'pas', 'kali', 'pese', 'kecewa', 'order', 'kirim', 'cepat']"
1756461394-13,2025-03-14,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'basah', 'ukur', 'lumayan', 'enak', 'harga', 'segi', 'beli', 'harga', 'uda', 'dpt', 'lapis', 'legit', 'enak', 'legit', 'ukur', 'tar', 'beli', 'dah', 'pin', 'gin']"
1756461394-14,2025-01-10,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['masyaallah', 'semangat', 'orang', 'dito', 'pesan', 'masuk', 'langsung', 'kemas', 'langsung', 'kirim', 'sat', 'set', 'moga', 'berkah', 'barok', 'tok', 'amin', 'jasa', 'kirim', 'dukung', 'pet', 'pen', 'terima', 'kasih', 'sesuai', 'harga', 'mahal', 'telor', 'mentega']"
1756461394-15,2025-02-13,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'personal', 'enak', 'teman', 'teh', 'manis', 'lapis', 'legit', 'lumayan', 'manis', 'lembut', 'minyak', 'harum', 'overal', 'muas', 'deh', 'kirim', 'cepat', 'banget', 'lapis', 'legit', 'bagus']"
1756461394-16,2024-12-18,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'banget', 'tekstur', 'lembut', 'ukur', 'sesuai', 'deskripsi', 'lapis', 'legit', 'enak', 'murah', 'dipa', 'lebaran', 'pas', 'mudik', 'kampung', 'cinta']"
1756461394-17,2024-07-27,Lapis Legit Spesial Basah Harum Gurih Legit Halal,4,positif,"['tekstur', 'empuk', 'manis', 'kadaluarsa', 'enak', 'kadaluarsa', 'order', 'kecewa', 'tem', 'order']"
1756461394-18,2024-08-24,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'basah', 'coklat', 'tekstur', 'lembut', 'kadaluarsa', 'tau', 'dat', 'enak', 'cak', 'basah', 'enak', 'terima', 'kasih', 'layan']"
1756461394-19,2025-03-20,Lapis Legit Spesial Basah Harum Gurih Legit Halal,3,netral,"['lun', 'ayan', 'tekstur', 'lembut', 'ukur', 'sesuai', 'gimana', 'yah', 'rasai', 'aga', 'aroma', 'telur', 'aga', 'aneh', 'gata', 'kalo', 'tur', 'lembut']"
1756461394-20,2025-02-26,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'manis', 'pasuk', 'ura', 'pas', 'sesuai', 'harap', 'alhamdulillah', 'paket', 'nyam', 'enak', 'manis', 'pas', 'tekstur', 'lembut', 'poko', 'gak', 'sel', 'beli']"
1756461394-21,2025-06-08,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lem', 'bit', 'ukur', 'pasal', 'hamdu', 'lilah', 'aceh', 'rusak', 'kin', 'rapi', 'rapat', 'pokok', 'lapis', 'legit', 'awet', 'lembut', 'jamur', 'kue', 'cantik', 'muas', 'makan', 'basi', 'jalan']"
1756461394-22,2025-03-14,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'sesuai', 'harap', 'produk', 'sesuai', 'pesan', 'lumayan', 'enak', 'harga', 'segi', 'murah', 'banding', 'dito', 'lin', 'pokok', 'kecewa', 'tekstur', 'lembut', 'seret', 'anak', 'suka', 'banget', 'suka', 'manis', 'manis', 'mudah', 'rezeki', 'biar', 'pesan']"
1756461394-23,2025-02-16,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'lembut', 'wangi', 'ukur', 'pas', 'gara', 'bat', 'lei', 'lapis', 'legit', 'pen', 'gen', 'lapis', 'legit', 'iseng', 'beli', 'murah', 'nyang', 'era', 'enak', 'basah', 'minyak', 'gitu', 'harga', 'dap', 'eti', 'lapis', 'legit', 'kaya', 'gin', 'onan']"
1756461394-24,2024-10-03,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'kue', 'lapis', 'mentega', 'dim', 'seret', 'overal', 'harga', 'segi', 'sel']"
1756461394-25,2025-01-17,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'sih', 'sesuai', 'kwalitas', 'cuman', 'dil', 'angit', 'mulut', 'asa', 'lengket', 'aja']"
1756461394-26,2025-02-02,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'paket', 'uda', 'aman', 'kali', 'order', 'enak', 'lapis', 'manis', 'tekstur', 'lembut', 'harga', 'murah', 'banget', 'pokok', 'mantap', 'mks', 'seler']"
1756461394-27,2025-02-17,Lapis Legit Spesial Basah Harum Gurih Legit Halal,1,negatif,"['pas', 'kali', 'buka', 'bau', 'abis', 'coba', 'potong', 'tekstur', 'lumayan', 'pas', 'makan', 'ter', 'pahit', 'coba', 'panas', 'rowa', 'pai', 'asa', 'basi', 'huh', 'sedih', 'sih']"
1756461394-28,2025-03-11,Lapis Legit Spesial Basah Harum Gurih Legit Halal,4,positif,"['coba', 'tekstur', 'lembut', 'ukur', 'tebal', 'tampil', 'wangi', 'coba', 'kalo', 'cicip', 'komen', 'paking', 'bagus', 'rapi']"
1756461394-29,2025-03-09,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'manis', 'pas', 'tekstur', 'lembut', 'tekstur', 'kue', 'basah', 'kering', 'ukur', 'pas', 'hamper', 'kirim', 'cepat', 'aman', 'kue', 'enak', 'harum', 'pas', 'dus', 'buka', 'wangi', 'but', 'ter', 'kue', 'cocok', 'hamper', 'raya', 'harga', 'wor']"
1756461394-30,2024-11-05,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['tekstur', 'lembut', 'tahan', 'giri', 'man', 'cepat', 'harga', 'murah', 'terima', 'kasih', 'sel']"
1756461394-31,2025-07-10,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['legit', 'enak', 'tekstur', 'lembut', 'ukur', 'pas', 'pen', 'gen', 'banget', 'lapis', 'legit', 'jadul', 'gak', 'ter', 'keras', 'kuk', 'kayan', 'order', 'enak', 'weh', 'tekstur', 'gak', 'moi', 'lapis', 'legit', 'ratus', 'ribu', 'yai', 'uda', 'masuk', 'kategori', 'lembu', 'suka', 'lapis', 'legit', 'gak', 'benyek', 'banyak', 'but', 'ter', 'gak', 'amis', 'minyak', 'taraf', 'wajar', 'gak', 'over', 'enak', 'deh', 'sel']"
1756461394-32,2024-11-29,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['lumayan', 'tekstur', 'lembut', 'ukur', 'pas', 'harga', 'segi', 'lapis', 'legit', 'lumayan', 'rejeki', 'rek', 'terima', 'kasih', 'sel', 'kue', 'enak', 'terima', 'kasih', 'hop', 'uda', 'kasih', 'diskon', 'ongkir', 'istimewa']"
1756461394-33,2025-01-26,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'banget', 'tekstur', 'lembut', 'ukur', 'ukur', 'sesuai', 'pet', 'ragu', 'order', 'jateng', 'alhamdulillah', 'darat', 'enak', 'ragu', 'order', 'toko', 'harga', 'murah', 'enak']"
1756461394-34,2025-03-17,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'sesuai', 'harga', 'lapis', 'legit', 'jujur', 'manis', 'suka', 'manis', 'rada', 'giung', 'bareng', 'kopi', 'hitam', 'biar', 'pas', 'era', 'mur', 'mer', 'harga', 'enak', 'kue', 'nyam', 'akas']"
1756461394-35,2025-06-19,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['kue', 'milik', 'cita', 'kuat', 'tekstur', 'lembut', 'sukur', 'pas', 'sesuai', 'gambar', 'selera', 'sel', 'beli', 'kue', 'toko', 'enak', 'lidah', 'mua', 'rek', 'ende']"
1756461394-36,2025-03-14,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'pas', 'nak', 'puasa', 'dikit', 'paruh', 'keras', 'habis', 'dik', 'keras', 'pas', 'potong', 'pokok', 'enak', 'deh', 'lezat', 'nak', 'makasih', 'sel']"
1756461394-37,2024-09-13,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['lapis', 'legit', 'tekstur', 'asli', 'asli', 'kualitas', 'harga', 'produk', 'kirim', 'cepat', 'makasih', 'sel', 'hop', 'kurir']"
1756461394-38,2024-09-15,Lapis Legit Spesial Basah Harum Gurih Legit Halal,3,netral,"['rada', 'asin', 'tekstur', 'standar', 'asli', 'lumayan', 'sesuai', 'harga', 'rek', 'spet', 'asi', 'premium']"
1756461394-39,2024-12-05,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'enak', 'ukur', 'pas', 'overal', 'its', 'harga', 'murah', 'kirim', 'super', 'aman', 'lumayan', 'banget', 'kalo', 'acara', 'arisan', 'mantap']"
1756461394-40,2024-09-03,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['legit', 'tekstur', 'lembut', 'asli', 'asli', 'makasih', 'cepat', 'aman', 'sesuai', 'pesan', 'makasih']"
1756461394-41,2025-07-29,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'pas', 'sesuai', 'harga', 'paket', 'terima', 'kirim', 'cepat', 'lapis', 'legit', 'enak', 'lembut', 'makan', 'seret', 'tenggorok', 'manis', 'pas', 'over', 'mks', 'sel', 'mks', 'kurir', 'malam', 'hujan', 'hujan']"
1756461394-42,2025-02-21,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['manis', 'tekstur', 'lembut', 'ukur', 'pas', 'suka', 'manis', 'manis', 'banget', 'cocok', 'kopi', 'pai', 'gitu', 'biar', 'manis', 'suka', 'lapis', 'lembut', 'wangi']"
1756461394-43,2025-03-19,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'lezat', 'tekstur', 'lembut', 'ukur', 'pas', 'pesan', 'harga', 'segi', 'kwalitas', 'bagus', 'harum', 'lembut', 'dim', 'ulu', 'pas', 'teman', 'kopi', 'teh', 'sel', 'kurir']"
1756461394-44,2024-11-09,Lapis Legit Spesial Basah Harum Gurih Legit Halal,4,positif,"['tau', 'blu', 'coba', 'tekstur', 'tauke', 'tahan', 'gak', 'tera', 'tau', 'krn', 'coba', 'pas', 'kurir', 'langsung', 'buka', 'paket', 'liat', 'blu', 'coba', 'potong', 'coba', 'pese', 'ori', 'keju', 'keju']"
1756461394-45,2025-01-10,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'wor', 'harga', 'segi', 'tuter', 'imak', 'asih', 'sel', 'enak', 'kue', 'alangkah', 'kin', 'aman']"
1756461394-46,2024-09-14,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'asli', 'asli', 'maaf', 'ksi', 'ulas', 'kue', 'enak', 'harga', 'jangkau', 'layan', 'amn', 'nyam', 'tuju', 'trim', 'ksi', 'sel', 'amanah', 'pin', 'gin', 'beli']"
1756461394-47,2024-12-18,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['spesial', 'tekstur', 'lembut', 'ukur', 'sesuai', 'harga', 'kue', 'lapis', 'milik', 'enak', 'kualitas', 'bagus', 'harga', 'jangkau', 'enak', 'manis', 'pas', 'tekstur', 'lembut', 'ukur', 'sesuai', 'harga', 'makasih', 'kakak', 'makasih', 'hop', 'bang']"
1756461394-48,2025-01-31,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['lembut', 'legit', 'tekstur', 'bagus', 'lembut', 'ukur', 'pas', 'sesuai', 'petas', 'iras', 'enak', 'lembut', 'manis', 'pas', 'kirim', 'cepat', 'aman', 'degan', 'selamat', 'gak', 'lecet', 'ktp', 'cocok', 'hantar', 'saudara', 'kerabat', 'lebaran', 'terima', 'kasih']"
1756461394-49,2025-02-15,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'pas', 'rna', 'iseng', 'taun', 'pas', 'dat', 'era', 'enak', 'toko', 'oren', 'tau', 'ambil', 'instan', 'biar', 'pet', 'nyam', 'langgan', 'sih', 'harga', 'murah', 'pas', 'las', 'sale', 'gratis', 'ongkir', 'ukur', 'bilang', 'gak', 'gak', 'mantap']"
1756461394-50,2025-05-26,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'empuk', 'ukur', 'sih', 'lumayan', 'enak', 'sih', 'kenyal', 'manis', 'pas', 'bau', 'sengir', 'bau']"
1756461394-51,2025-05-26,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'banget', 'sukat', 'eks', 'tur', 'milik', 'tekstur', 'padat', 'ukur', 'harga', 'yasu', 'banget', 'manis', 'pas', 'gak', 'bikin', 'nek', 'gitu', 'kur', 'suka', 'manis', 'banget', 'cocok', 'nih', 'gak', 'manis', 'enak', 'legit']"
1756461394-52,2025-06-19,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['produk', 'enak', 'tekstur', 'milik', 'tekstur', 'lembut', 'ukur', 'pas', 'sesuai', 'harap', 'gila', 'enak', 'pake', 'banget', 'lembut', 'banget', 'tim', 'order']"
1756461394-53,2025-05-09,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'wangi', 'ukur', 'kirai', 'pan', 'mantul', 'order', 'gede', 'biar', 'puas', 'era', 'enak', 'basah', 'tekstur', 'wangi']"
1756461394-54,2025-02-04,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['manis', 'gurih', 'tekstur', 'lembut', 'ukur', 'sesuai', 'harga', 'kirim', 'barang', 'cepat', 'kualitas', 'barang', 'oke', 'sesuai', 'lumayan', 'enak', 'camil', 'sore', 'harga', 'segi', 'sesuai', 'harga', 'maaf', 'mlm', 'lupa']"
1756461394-55,2025-03-29,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['pas', 'lidah', 'manis', 'tekstur', 'bagus', 'ukur', 'pas', 'sesuai', 'harap', 'harga', 'segi', 'wor', 'lapis', 'basah', 'pokok', 'terima', 'kasih', 'sel']"
1756461394-56,2025-04-30,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'banget', 'tekstur', 'empuk', 'lembut', 'ukur', 'pas', 'sesuai', 'harap', 'kirai', 'enak', 'manis', 'lembut', 'harum', 'pese', 'deh']"
1756461394-57,2025-03-15,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['nyam', 'aroma', 'wangi', 'lapis', 'legit', 'ukur', 'sesuai', 'harga', 'kualitas', 'mantap', 'tar', 'coba', 'azan', 'maghrib', 'makas', 'jual', 'antar']"
1756461394-58,2025-02-15,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'lap', 'lap', 'idu', 'kur', 'sesuai', 'harga', 'lapis', 'legit', 'peci', 'milik', 'enak', 'milik', 'aroma', 'kayu', 'manis', 'khas', 'manis', 'imbang', 'aroma']"
1756461394-59,2024-12-23,Lapis Legit Spesial Basah Harum Gurih Legit Halal,4,positif,"['enak', 'manis', 'bikin', 'tekstur', 'lembut', 'ukur', 'sesuai', 'tem', 'kue', 'cocok', 'tem', 'pas', 'dil', 'idah', 'sesuai', 'eks', 'petas', 'pet', 'video', 'keburu', 'abis', 'sikat', 'rumah', 'saking', 'enak', 'harga', 'jangkau', 'ramah', 'dik', 'antong', 'ajar']"
1756461394-60,2025-02-14,Lapis Legit Spesial Basah Harum Gurih Legit Halal,4,positif,"['manis', 'gurih', 'tekstur', 'lembut', 'minyak', 'ukur', 'pas', 'manis', 'gurih', 'minyak', 'alhamdulillah', 'aman', 'basi', 'uda', 'habis', 'adek', 'sisa', 'segi', 'nung', 'langsung', 'ludes']"
1756461394-61,2025-02-13,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lumayan', 'lembut', 'ukur', 'sesuai', 'penasaran', 'lapis', 'legit', 'viral', 'paket', 'ekonomis', 'lumayan', 'harga', 'ringan', 'kantong', 'lapis', 'enak', 'lembut', 'manis', 'its', 'oke', 'enak', 'pokok']"
1756461394-62,2025-01-19,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['milik', 'cita', 'gurih', 'tekstur', 'milik', 'tekstur', 'bagus', 'ukur', 'pas', 'sesuai', 'eks', 'petas', 'iras', 'enak', 'harga', 'murah', 'tekstur', 'lembut', 'kirim', 'pet']"
1756461394-63,2024-07-20,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['tekstur', 'empuk', 'enak', 'kadaluarsa', 'tanggal', 'enak', 'pen', 'guri', 'man', 'cepat', 'harga', 'murah']"
1756461394-64,2024-11-07,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'empuk', 'tahan', 'minggu', 'enak', 'kue', 'manis', 'pas', 'mantap', 'nyari', 'lapis', 'legit', 'coba', 'lumayan', 'harga', 'segi', 'mur', 'mer']"
1756461394-65,2024-12-06,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['beli', 'sih', 'cocok', 'aroma', 'pas', 'enak', 'banget']"
1756461394-66,2025-02-20,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['kirim', 'cepat', 'kemarin', 'pesan', 'jamin', 'enak', 'terima', 'kasih']"
1756461394-67,2025-03-08,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'ukur', 'pas', 'enak', 'lapis', 'rapih', 'lembut', 'moi', 'minyak', 'banget', 'kirim', 'aman', 'pas', 'aman', 'jamur', 'enak', 'seret', 'kalo', 'dim', 'asu', 'kin', 'kulkas', 'enak', 'dingin', 'dingin', 'terima', 'kasih']"
1756461394-68,2025-07-17,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['ate', 'tur', 'lembut', 'ukur', 'pas', 'paket', 'kirim', 'cepat', 'barang', 'sesuai', 'pesan', 'peking', 'aman', 'pro', 'aman', 'aman', 'jawa', 'basi', 'kue', 'enak', 'lembut', 'harga', 'jangkau']"
1756461394-69,2025-03-31,Lapis Legit Spesial Basah Harum Gurih Legit Halal,1,negatif,"['makan', 'pesan', 'bolu', 'lapis', 'legit', 'lapis', 'legit', 'jamur', 'masuk', 'sampah']"
1756461394-70,2025-03-11,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'lembab', 'ukur', 'ukur', 'coba', 'baca', 'deskripsi', 'harga', 'murah', 'wor', 'lumayan', 'kirim', 'cepat', 'emas', 'rapi', 'ble', 'rap', 'isi', 'aman', 'pas', 'buka', 'majasi', 'sel', 'amanah']"
1756461394-71,2025-08-11,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'banget', 'tekstur', 'bagus', 'ukur', 'pas', 'mks', 'paket', 'lapis', 'legit', 'dah', 'kin', 'aman', 'kue', 'aman', 'rusak', 'ampe', 'sabar', 'langsung', 'eksekusi', 'asli', 'enak', 'banget', 'sesuai', 'harap', 'harga', 'segi', 'dpt', 'lapis', 'legit', 'maknyus', 'mks', 'sel', 'moga', 'lancar', 'usaha']"
1756461394-72,2025-03-11,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lumayan', 'lembut', 'ukur', 'sesuai', 'terima', 'kasih', 'kak', 'paket', 'terima', 'alhamdulillah', 'sesuai', 'pesan', 'harga', 'jangkau', 'kirim', 'cepat', 'emas', 'aman', 'moga', 'laris', 'manis', 'berkah']"
1756461394-73,2025-03-10,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'ampun', 'tekstur', 'lembut', 'ukur', 'pas', 'terima', 'kasih', 'kak', 'pesan', 'uda', 'pet', 'pesan', 'langsung', 'proses', 'langsung', 'resi', 'semangat', 'toko', 'enak', 'lembut', 'minyak', 'gitu', 'manis', 'pas', 'pokok', 'pese', 'pokok', 'pese', 'ragu', 'langsung', 'aja']"
1756461394-74,2025-07-26,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['harum', 'legit', 'tekstur', 'bagus', 'halus', 'ukur', 'sesuai', 'harga', 'kirim', 'cepat', 'kemas', 'rapi', 'tutup', 'rapat', 'aman', 'produk', 'kue', 'lapis', 'legit', 'enak', 'harga', 'murah', 'enak', 'gurih', 'maaf', 'uda', 'gak', 'foton', 'pokok', 'habis', 'makan', 'enak', 'banget', 'tuk', 'cemilan', 'makasih', 'yah']"
1756461394-75,2025-02-24,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['lezat', 'muas', 'tekstur', 'lembut', 'ukur', 'pas', 'sesuai', 'eks', 'petas', 'kalk', 'beli', 'kin', 'gan', 'rapi', 'rapat', 'roti', 'lembut', 'rusak']"
1756461394-76,2025-07-25,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['lezat', 'pen', 'gen', 'makan', 'tekstur', 'lembut', 'nikmat', 'ukur', 'pas', 'sesuai', 'alhamdulillah', 'paket', 'darat', 'cantik', 'makasih', 'sel', 'hop', 'kirim', 'cepat', 'kurir', 'ramah']"
1756461394-77,2025-03-13,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['oke', 'tekstur', 'oke', 'ukur', 'oke', 'alhamdulillah', 'barang', 'pesan', 'darat', 'aman', 'cepat', 'selamat', 'barang', 'sesuai', 'gambar', 'coba', 'puasa', 'deh', 'buka', 'coba', 'abis', 'kedul', 'uan', 'krucil', 'krucil', 'sayang', 'terima', 'kasih', 'sel', 'terima', 'kasih', 'kurir', 'terima', 'kasih', 'sop']"
1756461394-78,2025-08-22,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'banget', 'tekstur', 'lembut', 'gak', 'seret', 'makan', 'ukur', 'pas', 'sesuai', 'ekspektasi', 'kemarin', 'pen', 'gen', 'lapis', 'legit', 'enak', 'lembut', 'manis', 'pas', 'pokok', 'puas', 'sel', 'sukses']"
1756461394-79,2025-03-15,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['tekstur', 'lembut', 'ukur', 'pas', 'skala', 'model', 'gantung', 'selera', 'suka', 'klasik', 'suka', 'tren', 'sih', 'kadang', 'ikut', 'tren', 'ujung', 'ujung', 'simpel', 'simpel', 'aja', 'dipa', 'acara', 'kadang', 'goda', 'lihat', 'baju', 'baju', 'lucu', 'lin', 'hop', 'kepak', 'bikin', 'pusing', 'dampak', 'lingkung']"
1756461394-80,2025-07-13,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['pas', 'manis', 'tekstur', 'bagus', 'ukur', 'sesuai', 'kue', 'lumayan', 'enak', 'harga', 'segi', 'kecewa', 'kasar', 'lembut', 'manis', 'pas']"
